state,year,milk_produced
Ohio,1989,4535000000
Indiana,1989,2229000000
Illinois,1989,2650000000
Iowa,1989,4202000000
Missouri,1989,2975000000
North Dakota,1989,1030000000
South Dakota,1989,1724000000
Nebraska,1989,1360000000
Kansas,1989,1256000000
Virginia,1989,1991000000
West Virginia,1989,279000000
North Carolina,1989,1531000000
Kentucky,1989,2265000000
Tennessee,1989,2040000000
South Carolina,1989,462000000
Georgia,1989,1303000000
Florida,1989,2447000000
Alabama,1989,527000000
Mississippi,1989,767000000
Arkansas,1989,794000000
Louisiana,1989,950000000
Oklahoma,1989,1232000000
Texas,1989,5170000000
Montana,1989,327000000
Idaho,1989,2669000000
Wyoming,1989,124000000
Colorado,1989,1277000000
New Mexico,1989,1243000000
Arizona,1989,1525000000
Utah,1989,1170000000
Nevada,1989,295000000
Washington,1989,4097000000
Oregon,1989,1509000000
California,1989,19420000000
Alaska,1989,23000000
Hawaii,1989,154000000
Maine,1990,614000000
New Hampshire,1990,302000000
Vermont,1990,2368000000
Massachusetts,1990,461000000
Rhode Island,1990,34000000
Connecticut,1990,515000000
New York,1990,11067000000
New Jersey,1990,352000000
Pennsylvania,1990,10014000000
Delaware,1990,123000000
Maryland,1990,1373000000
Michigan,1990,5234000000
Wisconsin,1990,24187000000
Minnesota,1990,10030000000
Ohio,1990,4667000000
Indiana,1990,2276000000
Illinois,1990,2559000000
Iowa,1990,4233000000
Missouri,1990,3040000000
North Dakota,1990,1073000000
South Dakota,1990,1716000000
Nebraska,1990,1345000000
Kansas,1990,1245000000
Virginia,1990,2004000000
West Virginia,1990,270000000
North Carolina,1990,1522000000
Kentucky,1990,2255000000
Tennessee,1990,2022000000
South Carolina,1990,447000000
Georgia,1990,1440000000
Florida,1990,2526000000
Alabama,1990,513000000
Mississippi,1990,749000000
Arkansas,1990,817000000
Louisiana,1990,940000000
Oklahoma,1990,1245000000
Texas,1990,5539000000
Montana,1990,325000000
Idaho,1990,2949000000
Wyoming,1990,125000000
Colorado,1990,1323000000
New Mexico,1990,1524000000
Arizona,1990,1645000000
Utah,1990,1267000000
Nevada,1990,328000000
Washington,1990,4392000000
Oregon,1990,1611000000
California,1990,20947000000
Alaska,1990,17000000
Hawaii,1990,151000000
Maine,1991,621000000
New Hampshire,1991,318000000
Vermont,1991,2408000000
Massachusetts,1991,465000000
Rhode Island,1991,34000000
Connecticut,1991,523000000
New York,1991,11179000000
New Jersey,1991,354000000
Pennsylvania,1991,10058000000
Delaware,1991,130000000
Maryland,1991,1419000000
Michigan,1991,5256000000
Wisconsin,1991,23770000000
Minnesota,1991,9775000000
Ohio,1991,4695000000
Indiana,1991,2285000000
Illinois,1991,2554000000
Iowa,1991,4151000000
Missouri,1991,2865000000
North Dakota,1991,1035000000
South Dakota,1991,1674000000
Nebraska,1991,1280000000
Kansas,1991,1230000000
Virginia,1991,2046000000
West Virginia,1991,270000000
North Carolina,1991,1527000000
Kentucky,1991,2190000000
Tennessee,1991,1993000000
South Carolina,1991,405000000
Georgia,1991,1447000000
Florida,1991,2508000000
Alabama,1991,521000000
Mississippi,1991,738000000
Arkansas,1991,783000000
Louisiana,1991,934000000
Oklahoma,1991,1223000000
Texas,1991,5418000000
Montana,1991,330000000
Idaho,1991,2919000000
Wyoming,1991,109000000
Colorado,1991,1335000000
New Mexico,1991,1917000000
Arizona,1991,1713000000
Utah,1991,1262000000
Nevada,1991,350000000
Washington,1991,4459000000
Oregon,1991,1659000000
California,1991,21407000000
Alaska,1991,13000000
Hawaii,1991,141000000
Maine,1992,642000000
New Hampshire,1992,332000000
Vermont,1992,2510000000
Massachusetts,1992,479000000
Rhode Island,1992,33000000
Connecticut,1992,541000000
New York,1992,11557000000
New Jersey,1992,357000000
Pennsylvania,1992,10368000000
Delaware,1992,138000000
Maryland,1992,1444000000
Michigan,1992,5435000000
Wisconsin,1992,23844000000
Minnesota,1992,9858000000
Ohio,1992,4695000000
Indiana,1992,2289000000
Illinois,1992,2525000000
Iowa,1992,4006000000
Missouri,1992,2971000000
North Dakota,1992,989000000
South Dakota,1992,1660000000
Nebraska,1992,1230000000
Kansas,1992,1220000000
Virginia,1992,2049000000
West Virginia,1992,278000000
North Carolina,1992,1535000000
Kentucky,1992,2150000000
Tennessee,1992,1968000000
South Carolina,1992,416000000
Georgia,1992,1518000000
Florida,1992,2579000000
Alabama,1992,503000000
Mississippi,1992,756000000
Arkansas,1992,787000000
Louisiana,1992,960000000
Oklahoma,1992,1231000000
Texas,1992,5590000000
Montana,1992,327000000
Idaho,1992,3138000000
Wyoming,1992,104000000
Colorado,1992,1416000000
New Mexico,1992,2174000000
Arizona,1992,1787000000
Utah,1992,1345000000
Nevada,1992,353000000
Washington,1992,4836000000
Oregon,1992,1712000000
California,1992,22092000000
Alaska,1992,12000000
Hawaii,1992,145000000
Maine,1993,663000000
New Hampshire,1993,325000000
Vermont,1993,2504000000
Massachusetts,1993,478000000
Rhode Island,1993,32000000
Connecticut,1993,543000000
New York,1993,11415000000
New Jersey,1993,363000000
Pennsylvania,1993,10181000000
Delaware,1993,147000000
Maryland,1993,1400000000
Michigan,1993,5435000000
Wisconsin,1993,22844000000
Minnesota,1993,9693000000
Ohio,1993,4620000000
Indiana,1993,2255000000
Illinois,1993,2514000000
Iowa,1993,4054000000
Missouri,1993,2840000000
North Dakota,1993,918000000
South Dakota,1993,1619000000
Nebraska,1993,1125000000
Kansas,1993,1080000000
Virginia,1993,1995000000
West Virginia,1993,275000000
North Carolina,1993,1498000000
Kentucky,1993,2120000000
Tennessee,1993,1897000000
South Carolina,1993,418000000
Georgia,1993,1535000000
Florida,1993,2558000000
Alabama,1993,515000000
Mississippi,1993,745000000
Arkansas,1993,769000000
Louisiana,1993,935000000
Oklahoma,1993,1257000000
Texas,1993,5910000000
Montana,1993,307000000
Idaho,1993,3229000000
Wyoming,1993,100000000
Colorado,1993,1454000000
New Mexico,1993,2766000000
Arizona,1993,1876000000
Utah,1993,1332000000
Nevada,1993,348000000
Washington,1993,4980000000
Oregon,1993,1692000000
California,1993,22924000000
Alaska,1993,12000000
Hawaii,1993,142000000
Maine,1994,639000000
New Hampshire,1994,313000000
Vermont,1994,2457000000
Massachusetts,1994,455000000
Rhode Island,1994,32000000
Connecticut,1994,530000000
New York,1994,11400000000
New Jersey,1994,330000000
Pennsylvania,1994,10230000000
Delaware,1994,143000000
Maryland,1994,1335000000
Michigan,1994,5545000000
Wisconsin,1994,22412000000
Minnesota,1994,9342000000
Ohio,1994,4513000000
Indiana,1994,2257000000
Illinois,1994,2452000000
Iowa,1994,3960000000
Missouri,1994,2715000000
North Dakota,1994,869000000
South Dakota,1994,1589000000
Nebraska,1994,1110000000
Kansas,1994,1125000000
Virginia,1994,1924000000
West Virginia,1994,272000000
North Carolina,1994,1473000000
Kentucky,1994,2007000000
Tennessee,1994,1812000000
South Carolina,1994,411000000
Georgia,1994,1595000000
Florida,1994,2623000000
Alabama,1994,500000000
Mississippi,1994,731000000
Arkansas,1994,753000000
Louisiana,1994,925000000
Oklahoma,1994,1287000000
Texas,1994,6225000000
Montana,1994,307000000
Idaho,1994,3754000000
Wyoming,1994,91000000
Colorado,1994,1553000000
New Mexico,1994,3325000000
Arizona,1994,2134000000
Utah,1994,1431000000
